Title of paper,Article DOI (or URL),Journal name,Year of publication,Is there an ASDC?,Justification for non-open data?,All data available,At least some data available,All code available,At least some code available,All data available upon request,At least some data available upon request,no data produced,links work
Sparse inversion-based seismic random noise attenuation via self-paced learning,https://doi.org/10.1016/j.aiig.2022.03.003,AI in Geo,2021,no,None,,,,,,,,
Local earthquakes detection: A benchmark dataset of 3-component seismograms built on a global scale,https://doi.org/10.1016/j.aiig.2020.04.001,AI in Geo,2020,yes,N/A,y,y,n,n,,,,y
Exact Conditioning of Regression Random Forest for Spatial Prediction,https://doi.org/10.1016/j.aiig.2021.01.001,AI in Geo,2020,no,None,,,,,,,,
Seismic labeled data expansion using variational autoencoders,https://doi.org/10.1016/j.aiig.2020.12.002,AI in Geo,2020,no,None,,,,,,,,
Automatic fault instance segmentation based on mask propagation neural network,https://doi.org/10.1016/j.aiig.2020.12.001,AI in Geo,2020,no,None,,,,,,,,
ShakeDaDO: A data collection combining earthquake building damage and ShakeMap parameters for Italy,https://doi.org/10.1016/j.aiig.2021.01.002,AI in Geo,2020,yes,None,n,n,n,n,n,n,,n
Reservoir evaluation using petrophysics informed machine learning: A case study,https://doi.org/10.1016/j.aiig.2024.100070,AI in Geo,2024,no,None,,,,,,,,
"Forecast future disasters using hydro-meteorological datasets in the Yamuna river basin, Western Himalaya: Using Markov Chain and LSTM approaches",https://doi.org/10.1016/j.aiig.2024.100069,AI in Geo,2024,yes,None,n,n,n,n,y,y,,
Robust high frequency seismic bandwidth extension with a deep neural network trained using synthetic data,https://doi.org/10.1016/j.aiig.2024.100071,AI in Geo,2024,yes,N/A,y,y,n,n,,,,y
"A combined deep CNN-RNN network for rainfall-runoff modelling in Bardha Watershed, India",https://doi.org/10.1016/j.aiig.2024.100073,AI in Geo,2024,yes,None,n,n,n,n,y,y,,
Reconstruction of lithofacies using a supervised Self-Organizing Map: Application in pseudo-wells based on a synthetic geologic cross-section,https://doi.org/10.1016/j.aiig.2024.100072,AI in Geo,2024,yes,None,n,n,n,n,y,y,,
The role of artificial intelligence and IoT in prediction of earthquakes: Review,https://doi.org/10.1016/j.aiig.2024.100075,AI in Geo,2024,no,None,,,,,,,,
